mSec,Latitude,Longitude,Altitude,Speed,AccelX,AccelY,AccelZ,Soc1,Soc2,Soc3,BDat1,BDat2,BDat3
1288731278000,37.777197,-122.404019,-24.000000,44.000000,-0.081722,-3.636633,-12.026767,0.873856,0.945270,0.857054,0.965695,0.838857,0.893228
1288731281000,37.776961,-122.403730,-24.000000,44.000000,0.844462,-0.190685,-7.967904,0.838657,0.939101,0.820940,0.913870,0.898753,0.882761
1288731286000,37.776559,-122.403284,-23.000000,39.000000,0.531194,0.994285,-8.921328,0.948651,0.822465,0.843195,0.927965,0.858632,0.974731
1288731289000,37.776366,-122.403048,-23.000000,35.000000,-0.885323,1.648062,-8.049625,0.981875,0.819630,0.945150,0.922589,0.897143,0.830415
1288731292000,37.776173,-122.402812,-23.000000,34.000000,-0.340509,3.909040,-10.460427,0.880284,0.814952,0.944678,0.871145,0.875476,0.918591
1288731319000,37.776135,-122.402710,-22.000000,6.000000,1.334794,-2.029432,-10.501288,0.943142,0.915238,0.971730,0.877267,0.941184,0.938641
1288731322000,37.775964,-122.402517,-22.000000,42.000000,-0.272407,-2.492524,-11.917805,0.943587,0.901727,0.963810,0.891792,0.981128,0.988863
1288731328000,37.775427,-122.401847,-22.000000,44.000000,1.076007,0.912563,-12.176591,0.834891,0.966452,0.974586,0.905188,0.948536,0.997752
1288731331000,37.775250,-122.401616,-22.000000,22.000000,0.844462,3.064578,-8.008764,0.967767,0.838011,0.819299,0.850626,0.969320,0.917046
1288731343000,37.775175,-122.401541,-22.000000,6.000000,0.108963,-1.144109,-4.903325,0.979657,0.879792,0.815001,0.839916,0.912916,0.823795
1288731346000,37.775084,-122.401423,-22.000000,23.000000,-0.108963,-0.040861,-11.985906,0.959435,0.996863,0.810701,0.996101,0.942463,0.983197
1288731349000,37.774960,-122.401278,-23.000000,18.000000,0.000000,0.190685,-10.147159,0.826389,0.970072,0.823038,0.812389,0.959331,0.919651
1288731352000,37.774853,-122.401149,-23.000000,24.000000,1.334794,-0.885323,-11.536434,0.902710,0.898400,0.949433,0.973907,0.971118,0.962745
